time,emotion
0.0,neutral
0.23331,neutral
0.46662,neutral
0.69993,neutral
0.93324,happy
1.16655,happy
1.39986,happy
1.63317,happy
1.86648,fear
2.09979,sad
2.3331,neutral
2.56641,neutral
2.79972,neutral
3.03303,happy
3.26634,neutral
3.49965,neutral
3.73296,neutral
3.96627,neutral
4.19958,neutral
4.43289,neutral
4.6662,neutral
4.89951,neutral
5.13282,neutral
5.36613,neutral
5.59944,neutral
5.83275,neutral
6.06606,happy
6.29937,neutral
6.53268,happy
6.76599,happy
6.9993,neutral
7.23261,sad
7.46592,neutral
7.69923,neutral
7.93254,neutral
8.16585,neutral
8.39916,neutral
8.63247,happy
8.86578,happy
9.09909,neutral
9.3324,neutral
9.56571,happy
9.79902,happy
10.03233,happy
10.26564,happy
10.49895,happy
10.73226,happy
10.96557,happy
11.19888,happy
11.43219,happy
11.6655,fear
11.89881,fear
12.13212,sad
12.36543,angry
12.59874,neutral
12.83205,neutral
13.06536,neutral
13.29867,neutral
13.53198,neutral
13.76529,neutral
13.9986,neutral
14.231910000000001,neutral
14.46522,happy
14.69853,fear
14.93184,neutral
15.16515,neutral
15.39846,neutral
15.63177,neutral
15.86508,happy
16.09839,neutral
16.3317,neutral
