,[output]arousal
[general]time_passed,0.36322499471985253
player_score,0.3551548908700876
[general]score,0.3551548908700876
player_lap,0.15052717233836785
player_gas_pedal,0.13426509632268094
player_healing,0.12039917071232907
bot_shooting,0.11924221953538701
bot_aim_at_player,0.11475904685043405
player_speed,0.10931410220113412
bot_projectile_count,0.0981169891773686
bot_projectile_player_distance,0.09631339584970211
bot_score,0.09234461678738237
bot_lap,0.09113192860838044
[general]event_diversity,0.08807272361151844
[general]event_intensity,0.08608174322708419
player_projectile_count,0.08220928495240927
bot_is_colliding_below,0.07533942425194168
bot_has_collisions,0.07438284737039451
key_press_count,0.0723605153116242
[general]input_intensity,0.0723605153116242
player_has_powerup,0.06866510236273135
player_is_looping,0.06853168920809993
player_is_mid_air,0.06682567207284916
[general]input_diversity,0.06457979813170228
[general]activity,0.06374795984607738
player_projectile_distance,0.062357829907527036
player_shooting,0.05893539656662575
player_aim_at_enemy,0.058286767955412
player_damaged,0.05706866193004894
player_delta_distance,0.05548024662209262
player_speed_y,0.052094793819416646
[general]player_movement,0.051278361404391404
destructible_count,0.050087705466888524
player_reloading,0.045999989892351136
player_aim_at_destructible,0.044169945265828896
player_kill_count,0.03771893559199281
player_delta_rotation,0.03749149523122456
objects_destroyed,0.03633263222461889
player_is_jumping,0.03624450437605294
player_is_crashing,0.03549798950661289
bot_damaged,0.03442416272609148
player_is_falling,0.031259619628809986
[general]object_intensity,0.02967007466740772
player_speed_boost,0.027920858229595433
bot_is_falling,0.0229504923038422
player_point_pickup,0.022280617418864217
player_speed_z,0.02034701498942716
player_speed_x,0.02024803048422673
bot_is_looping,0.020184872335768232
bot_reloading,0.01807691734327705
visible_jump_count,0.01759086747795516
[general]object_diversity,0.017590698088850488
player_death,0.01501286221114235
visible_obstacle_count,0.013003920142752942
player_tries_shoot_on_reload,0.012736935087188107
bot_speed_x,0.011795683969564682
player_crouching,0.011586981080916575
bot_is_off_road,0.010580472667433439
bot_is_colliding_left,0.010556739995276095
bot_delta_distance,0.009226233084589735
[general]bot_movement,0.009226233084589735
pick_ups_visible,0.00838330283854793
player_boost_pickup,0.008016127234672356
bot_is_colliding_above,0.007586337893703044
bot_is_colliding_right,0.00753376796409607
player_power_pickup,0.007507668452963146
player_is_off_road,0.006778224068113058
player_is_grounded,0.0060592160799279255
player_is_colliding_left,0.00560709709879073
bot_health,0.004934595902327847
player_slow_pickup,0.004831032102883786
bot_is_jumping,0.0034335491380967672
player_is_colliding_right,0.003397590963973396
bot_charging,0.003181466766619697
 bot_delta_rotation ,0.0015491116535901466
player_steering,0.0005882687811412877
bot_standing,-8.854378121303478e-05
player_health_pickup,-0.00036416302612820635
bot_speed_y,-0.0010648001941325031
[general]bot_count,-0.0012049626896309
visible_bot_count,-0.0012049626896309
player_respawn,-0.0014192960227675797
reticle_delta_distance,-0.0017668154795196264
bot_respawn,-0.0023380650169198065
visible_speed_boost_count,-0.004731221036420916
visible_loop_count,-0.006163184992907818
player_sprinting,-0.008167190194596911
bot_is_crashing,-0.011458283404718163
bot_speed_boost,-0.011811810668685876
pick_up_player_disctance,-0.012055942201183487
bot_speed,-0.013474064156595323
player_is_colliding_above,-0.017761739467207396
player_is_colliding_below,-0.01926717671137979
bot_delta_rotation,-0.020576090153132703
player_standing,-0.02294438929199057
[general]bot_diversity,-0.023924183719782815
player_distance_to_way_point,-0.026101432995917637
bot_player_distance,-0.03244125388497609
player_has_collisions,-0.03583239310630048
bot_steering,-0.0385138117342692
bot_is_grounded,-0.04959329215257345
bot_gas_pedal,-0.049619683355796244
idle_time,-0.06374795984607853
bot_speed_z,-0.0675881285457442
bot_distance_to_way_point,-0.11797575831821693
player_health,-0.12401140679608613
