,ApexSpeed,Endless,Heist!,Pirates!,Run'N'Gun,Shootout,Solid,TinyCars,TopDown
[general]input_intensity,0.038912322042051896,0.0188145783138783,0.08964595868984482,0.015734269856577558,0.052409641287860916,0.026702506822975636,0.06564365739894308,0.08346158191401301,0.1511263117545346
[general]input_diversity,0.02788103359549705,0.010253033134447863,0.07499630774122323,0.01422005859221173,0.05597448632416403,0.04191207921199402,0.0703952258547936,0.04594373399890156,0.15348142119897365
[general]activity,0.02518685630154624,0.010001879816022788,0.07162261927806599,0.006069125035664431,0.040964034279884286,0.03136512877414827,0.1208189509238843,0.12990666816272248,0.11428104829925664
[general]score,0.22167196142036047,0.3724107268180359,0.4073304204718419,0.2879216999090839,0.4248505568995029,0.4777067668361842,0.3029067769577891,0.1717431271171507,0.47938803879898284
[general]event_intensity,0.11499243106683074,0.06248767166892404,0.15176647409656582,0.04824144672469558,0.07461025733947466,0.18747178696097538,0.10507978645695612,0.01594416504520485,0.1961818311688361
[general]event_diversity,0.08644443730737031,0.0614081269989567,0.15079729475465714,0.05056823818485623,0.0891817197229479,0.23419025434838145,0.10126091326689,0.02584027758999344,0.17064327606152213
[general]bot_count,0.20301181926084771,0.05249549359714581,0.11911692289280969,0.09800615729518869,0.16556227924915434,0.5127041968829938,0.1241463499994239,0.055121682423116915,0.16789239018155203
[general]bot_diversity,0.19843112034278437,0.06619644880165856,0.08041030539791127,0.08180295455041565,0.2735041661547292,0.17724406886874677,0.11177860125065335,0.04875267166737575,0.09346032843389311
[general]bot_movement,0.10989630687226253,0.25046267003205186,0.024802402886663005,0.014816081584273746,0.04251725855967089,,0.01356165082210246,0.02240623811350547,0.1503026539540129
[general]player_movement,0.09201121764122408,0.4063493184358511,0.004559504167336114,0.04274753597527083,0.020713277833579912,0.010416987120850048,0.14837838179785162,0.098987392480299,0.0013246857766041457
[general]object_intensity,0.0021374505213279864,0.0011484597630994923,,0.10534641442293588,0.06641835328783621,,0.014184871661290153,0.01321237002256342,0.09848800732329967
[general]object_diversity,0.015479462695636789,0.03297324287954767,,0.11041818627750169,0.034211080896063104,,0.01408301600963241,0.013377378790546575,0.01701329541446429
key_press_count,0.038912322042051896,0.0188145783138783,0.08964595868984482,0.015734269856577558,0.052409641287860916,0.026702506822975636,0.06564365739894308,0.08346158191401301,0.1511263117545346
idle_time,0.02518685630154626,0.010001879816022793,0.07162261927806599,0.0060691250356644435,0.04096403427988425,0.03136512877414827,0.12081895092388427,0.1299066681627224,0.11428104829925669
player_score,0.22167196142036047,0.3724107268180359,0.4073304204718419,0.2879216999090839,0.4248505568995029,0.4777067668361842,0.3029067769577891,0.1717431271171507,0.47938803879898284
player_health,,0.006280777343796343,0.25077271803613593,0.01573978590394028,0.2532682420184553,,,,0.3015838079485166
player_damaged,,0.01848193681520995,0.05625643137577485,0.0131230129043747,0.05996275060811409,0.08944813409895284,,,0.056466493639746256
player_death,,0.019361397266655665,0.024439017394045616,0.025068102580207426,0.017947513098552872,,,,0.027415350061246183
player_kill_count,,0.03106713673303382,0.04690319637065124,0.017281136338406954,0.012490309007375812,0.05021168700638333,,,0.05302088643621685
visible_bot_count,0.20301181926084771,0.05249549359714581,0.11911692289280969,0.09800615729518869,0.16556227924915434,0.5127041968829938,0.1241463499994239,0.055121682423116915,0.16789239018155203
bot_health,,0.10037128970855375,0.129405760671983,0.07860812820781027,0.10094014073191637,0.17852595157304496,,,0.16227216429802685
bot_damaged,,,0.052437415890644164,,0.013508208725894566,0.011499939669455448,,,0.08727852773941197
bot_player_distance,0.15804010972577817,0.05609359002990044,,0.04591651645512794,0.08951401818367989,,0.0042077325387869895,0.02307855463489465,
