,ApexSpeed,Endless,Heist!,Pirates!,Run'N'Gun,Shootout,Solid,TinyCars,TopDown
[general]input_intensity,0.5901896477969485,0.3199419343131918,0.7624329889257824,0.8226886575845707,0.8415355226052943,0.22367963528184523,0.9692051368452581,0.9602237178879515,0.8862465946040953
[general]input_diversity,0.5863753030086981,0.3199419343131918,0.7624329889257824,0.8226886575845707,0.8415355226052943,0.22367963528184523,0.9541727507581714,0.95698170442696,0.8862465946040953
[general]activity,0.5907065449878797,0.3202322627472328,0.7625813871524235,0.8230713301699066,0.8416628763758756,0.22404667156048372,0.9694672207870006,0.9603943501753721,0.8863168995518059
[general]score,0.9378653928418651,0.9731990564325894,0.8711346899404552,0.8683988979029542,0.8794141726553261,0.949716029826527,0.9155528099142611,0.953834486681202,0.8505316811670621
[general]event_intensity,0.7000035648082134,0.6242787152966793,0.7164851880020033,0.7543624674728302,0.8167925043209315,0.9711393578796894,0.3043356172076828,0.3111384965399564,0.4403901924597944
[general]event_diversity,0.7000035648082134,0.6242787152966793,0.7164851880020033,0.7543624674728302,0.8167925043209315,0.9711393578796894,0.3043356172076828,0.3111384965399564,0.4403901924597944
[general]bot_count,0.18702766291173534,0.6375975322083106,0.47620990929158397,0.5479680085718659,0.8319476030201037,0.9714484410617007,0.4316148114867648,0.45014693335861217,0.7674839616838035
[general]bot_diversity,0.18702766291173534,0.6375975322083106,0.47620990929158397,0.5479680085718659,0.8319476030201037,0.9714484410617007,0.4316148114867648,0.44100862641008626,0.7588364531153879
[general]bot_movement,0.18702766291173534,0.6375975322083106,0.2821792279582259,0.5463799173427216,0.715055035022287,0.0,0.43124040585570406,0.4368376149398047,0.6907461112575798
[general]player_movement,0.9978789391130757,0.9789148974777717,0.8571481570795229,0.9125593142507271,0.8003274811243518,0.9085306958235135,0.9931670972331423,0.9691345151199166,0.9813164601458828
[general]object_intensity,0.9000606017396264,0.4973144619851207,0.0,0.5912291443440992,0.48863822432457016,0.0,0.478359354524692,0.2347331500616172,0.9864662975656912
[general]object_diversity,0.9000606017396264,0.4973144619851207,0.0,0.5912291443440992,0.48863822432457016,0.0,0.478359354524692,0.2347331500616172,0.5203269180068547
key_press_count,0.5901896477969485,0.3199419343131918,0.7624329889257824,0.8226886575845707,0.8415355226052943,0.22367963528184523,0.9692051368452581,0.9602237178879515,0.8862465946040953
idle_time,0.7839191501497219,0.9646888042097623,0.5362926413029364,0.5377697841726619,0.5343036477758574,0.996542131901248,0.07577969972668389,0.09566783581382121,0.2871078302135513
player_score,0.9378653928418651,0.9731990564325894,0.8711346899404552,0.8683988979029542,0.8794141726553261,0.949716029826527,0.9155528099142611,0.953834486681202,0.8505316811670621
player_health,0.0,0.9277808020322991,0.9673338403606077,0.839334915046686,0.9246611480032748,0.0,0.0,0.0,0.9435099745144565
player_damaged,0.0,0.010415532571221194,0.04003042163646144,0.0062566967702433795,0.025816428636404987,0.07462427075686744,0.0,0.0,0.06105984708673873
player_death,0.0,0.010415532571221194,0.00159528093639281,0.005797489667840196,0.0008187028108796507,0.0,0.0,0.0,0.001230336584937165
player_kill_count,0.0,0.033587370713119215,0.025320447420653324,0.01339354048675953,0.04264531974893114,0.12305374183827222,0.0,0.0,0.023481852535372178
visible_bot_count,0.18702766291173534,0.6375975322083106,0.47620990929158397,0.5479680085718659,0.8319476030201037,0.9714484410617007,0.4316148114867648,0.45014693335861217,0.7674839616838035
bot_health,0.0,0.6374160769370351,0.47620990929158397,0.5476810041328639,0.830619485126899,0.9714484410617007,0.0,0.0,0.7669390983390456
bot_damaged,0.0,0.0,0.048340722328368176,0.0,0.08079687073592286,0.12293783564501796,0.0,0.0,0.09202917655329994
bot_player_distance,0.18702766291173534,0.6375975322083106,0.0,0.5479680085718659,0.8319476030201037,0.0,0.4316148114867648,0.4596075457389326,0.0
